#Id1	Id2	Corr
3	7	0.001
3	25	0.004
3	43	0.001
3	48	0.011
3	49	0.010
3	50	0.002
3	56	0.005
3	58	0.005
3	70	0.002
3	71	0.004
3	72	0.003
3	73	0.016
3	75	0.013
3	76	0.008
3	88	0.002
3	89	0.004
3	90	0.012
3	96	0.009
3	97	0.010
3	98	0.013
7	25	0.012
7	32	0.003
7	34	0.005
7	35	0.004
7	43	0.038
7	46	0.177
7	47	0.438
7	50	0.032
7	55	0.014
7	56	0.050
7	58	0.201
7	70	0.006
7	71	0.040
7	72	0.010
7	75	0.008
7	76	0.029
7	88	0.003
7	89	0.008
7	90	0.064
7	96	0.008
7	97	0.010
14	56	0.009
18	56	0.010
24	32	0.011
24	34	0.002
24	35	0.002
24	43	0.004
24	50	0.006
24	55	0.002
24	56	0.019
24	71	0.057
24	72	0.006
24	75	0.005
24	90	0.025
24	91	0.154
24	96	0.002
24	97	0.004
25	32	0.002
25	34	0.002
25	35	0.001
25	43	0.004
25	46	0.009
25	47	0.008
25	48	0.067
25	49	0.050
25	50	0.007
25	55	0.002
25	56	0.023
25	58	0.025
25	70	0.013
25	71	0.024
25	72	0.017
25	73	0.088
25	74	0.004
25	75	0.068
25	76	0.041
25	88	0.008
25	89	0.020
25	90	0.055
25	96	0.050
25	97	0.054
25	98	0.066
32	43	0.002
32	46	0.002
32	47	0.002
32	48	0.002
32	49	0.005
32	50	0.003
32	56	0.010
32	58	0.003
32	70	0.001
32	71	0.006
32	72	0.002
32	73	0.005
32	75	0.007
32	76	0.005
32	89	0.002
32	90	0.010
32	91	0.007
32	96	0.004
32	97	0.005
32	98	0.006
34	35	0.050
34	43	0.002
34	46	0.004
34	47	0.003
34	48	0.007
34	49	0.006
34	50	0.002
34	56	0.004
34	58	0.004
34	70	0.001
34	71	0.005
34	72	0.002
34	73	0.008
34	75	0.007
34	76	0.004
34	89	0.002
34	90	0.007
34	91	0.002
34	96	0.005
34	97	0.005
34	98	0.007
35	43	0.001
35	46	0.003
35	47	0.002
35	48	0.005
35	49	0.004
35	50	0.001
35	56	0.003
35	58	0.003
35	70	0.001
35	71	0.003
35	72	0.001
35	73	0.006
35	75	0.005
35	76	0.003
35	89	0.002
35	90	0.005
35	91	0.001
35	96	0.004
35	97	0.004
35	98	0.005
43	46	0.028
43	47	0.025
43	48	0.003
43	49	0.029
43	50	0.011
43	55	0.005
43	56	0.022
43	58	0.026
43	70	0.005
43	71	0.017
43	72	0.004
43	73	0.023
43	74	0.001
43	75	0.027
43	76	0.019
43	88	0.003
43	89	0.007
43	90	0.032
43	91	0.002
43	96	0.014
43	97	0.014
43	98	0.033
44	50	0.011
44	56	0.005
44	71	0.019
44	74	0.002
44	75	0.032
44	76	0.001
44	88	0.006
44	89	0.006
44	90	0.021
44	96	0.001
44	97	0.001
44	105	0.102
46	50	0.029
