#Id	Atom    	nu0
0	133Cs   	1.
1	115In+  	1267402452901041.28250601
2	1H      	1233030706593513.65384615
3	199Hg   	1128575290808154.31910196
4	27Al+   	1121015393207859.15926219
5	199Hg+  	1064721609899146.96376281
6	171Yb+E2	688358979309308.239120953
7	171Yb+E3	642121496772645.118522185
8	171Yb   	518295836590863.630494915
9	40Ca    	455986240494138.190718789
10	88Sr+   	444779044095486.341924015
11	88Sr    	429228066418007.005668952
12	87Sr    	429228004229872.992467107
13	40Ca+   	411042129776400.359984774
14	87Rb    	6834682610.90431259985987
